--- 2026-07-23_23-00-01 ---
kbae2 48.5038GB
dnsmasq 4.95911e-05GB
sfang6 4.42988GB
libstor+ 1.14441e-05GB
jkim234 0.713154GB
root 0.442688GB
gdm 0.114044GB
pcp 0.063282GB
jhwang24 0.0359535GB
polkitd 0.00989532GB
iansari2 0.00727463GB
dbus 0.00317383GB
chrony 0.000812531GB
colord 0.000770569GB
avahi 0.000556946GB
rtkit 0.000370026GB
daemon 0.000209808GB
rpc 0GB

