--- 2026-08-21_00-00-01 ---
dnsmasq 4.57764e-05GB
jkim234 3.63512GB
libstor+ 1.14441e-05GB
root 0.514446GB
gdm 0.127335GB
kbae2 0.102055GB
pcp 0.0649376GB
iansari2 0.0382462GB
tgu4 0.022438GB
polkitd 0.0188713GB
sfang6 0.0155411GB
jhwang24 0.00914764GB
dbus 0.00338745GB
chrony 0.00246811GB
avahi 0.00106049GB
colord 0.000663757GB
rtkit 0.000530243GB
daemon 0.000209808GB
rpc 0GB

