--- 2025-10-29_14-00-02 ---
jhwang24 22.1558GB
rpc 9.15527e-05GB
jkim234 6.18821GB
daemon 3.8147e-05GB
libstor+ 3.43323e-05GB
dnsmasq 1.52588e-05GB
root 0.50808GB
gdm 0.116016GB
pcp 0.036808GB
iansari2 0.0351143GB
kbae2 0.0343971GB
polkitd 0.0216179GB
dbus 0.00405121GB
chrony 0.00167465GB
avahi 0.000976562GB
rtkit 0.000293732GB
colord 0GB

