--- 2026-03-14_21-00-01 ---
sfang6 16.3094GB
root 0.973091GB
gdm 0.67704GB
pcp 0.0731316GB
polkitd 0.0384254GB
kbae2 0.0351562GB
colord 0.0125046GB
dbus 0.00807571GB
daemon 0.00695419GB
avahi 0.0057106GB
rpc 0.00531769GB
chrony 0.00439072GB
rtkit 0.003479GB
dnsmasq 0.00256348GB
libstor+ 0.0017662GB

