--- 2025-11-13_03-00-02 ---
jkim234 16.2549GB
iansari2 4.04283GB
root 0.586262GB
gdm 0.139519GB
sfang6 0.0406036GB
kbae2 0.0354729GB
pcp 0.0299683GB
polkitd 0.0269012GB
jhwang24 0.0114517GB
dbus 0.00386047GB
colord 0.00189209GB
chrony 0.00175095GB
avahi 0.00144958GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

