--- 2026-07-27_10-00-02 ---
rtkit 9.53674e-05GB
sfang6 7.54548GB
kbae2 6.60891GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
root 0.432793GB
gdm 0.11544GB
pcp 0.0375595GB
jhwang24 0.0242043GB
iansari2 0.0109634GB
polkitd 0.00693893GB
dbus 0.00306702GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

