--- 2026-05-07_20-00-02 ---
jhwang24 68.2208GB
sfang6 10.338GB
jkim234 1.95775GB
root 0.949253GB
gdm 0.309063GB
pcp 0.106647GB
kbae2 0.0362549GB
polkitd 0.0283432GB
colord 0.00776291GB
dbus 0.00571823GB
daemon 0.00409317GB
avahi 0.00404358GB
rpc 0.00343704GB
chrony 0.00328827GB
rtkit 0.00259399GB
dnsmasq 0.00163269GB
libstor+ 0.00127029GB

