--- 2026-05-06_22-00-01 ---
jhwang24 28.244GB
sfang6 15.1872GB
root 1.20033GB
gdm 0.427078GB
pcp 0.0844727GB
kbae2 0.0369263GB
polkitd 0.0368004GB
colord 0.0111465GB
dbus 0.007267GB
daemon 0.00615692GB
avahi 0.00538635GB
rpc 0.00515747GB
chrony 0.00481796GB
rtkit 0.0035553GB
dnsmasq 0.002388GB
libstor+ 0.00177765GB

