--- 2026-06-30_23-00-02 ---
sfang6 37.3431GB
libstor+ 9.15527e-05GB
jkim234 0.561451GB
root 0.514263GB
gdm 0.12254GB
pcp 0.0609703GB
kbae2 0.0375061GB
jhwang24 0.027607GB
iansari2 0.0141716GB
polkitd 0.0118523GB
dbus 0.00391769GB
chrony 0.00195312GB
daemon 0.00094223GB
avahi 0.000427246GB
rpc 0.000347137GB
colord 0.000209808GB
rtkit 0.000205994GB
dnsmasq 0.000106812GB

