--- 2025-10-29_03-00-01 ---
jhwang24 86.6725GB
libstor+ 4.95911e-05GB
iansari2 3.88904GB
dnsmasq 1.52588e-05GB
root 0.529667GB
gdm 0.100193GB
pcp 0.060627GB
kbae2 0.0342941GB
sfang6 0.0318222GB
polkitd 0.0234833GB
dbus 0.00363922GB
chrony 0.00177383GB
avahi 0.000900269GB
daemon 0.000511169GB
rtkit 0.000152588GB
rpc 0.000102997GB
colord 0GB

