--- 2025-10-29_00-00-02 ---
jhwang24 77.2867GB
libstor+ 4.95911e-05GB
iansari2 4.81933GB
dnsmasq 1.52588e-05GB
root 0.704914GB
gdm 0.110188GB
pcp 0.103428GB
sfang6 0.0353279GB
kbae2 0.034626GB
polkitd 0.0266571GB
dbus 0.00308228GB
avahi 0.00113297GB
daemon 0.00030899GB
chrony 0.000255585GB
rtkit 0.000152588GB
rpc 0.000102997GB
colord 0GB

