--- 2026-08-19_08-00-01 ---
kbae2 54.0647GB
jkim234 4.88538GB
libstor+ 1.14441e-05GB
root 0.488811GB
gdm 0.14592GB
pcp 0.0344849GB
sfang6 0.014267GB
iansari2 0.0102501GB
polkitd 0.00976562GB
jhwang24 0.00414658GB
dbus 0.00314713GB
chrony 0.00191879GB
avahi 0.00106049GB
colord 0.000679016GB
rtkit 0.000549316GB
daemon 0.000209808GB
dnsmasq 0.000152588GB
rpc 0GB

