--- 2026-05-07_08-00-02 ---
jhwang24 64.7386GB
sfang6 14.1176GB
root 1.16885GB
gdm 0.409668GB
pcp 0.0593529GB
kbae2 0.0364189GB
polkitd 0.0359154GB
colord 0.0108833GB
dbus 0.00703812GB
daemon 0.00600433GB
rpc 0.00510025GB
avahi 0.00508881GB
chrony 0.00468826GB
rtkit 0.00351334GB
dnsmasq 0.00226212GB
libstor+ 0.00175095GB

