--- 2025-10-24_08-00-06 ---
jhwang24 3.95227GB
root 0.726036GB
gdm 0.166935GB
pcp 0.0364418GB
kbae2 0.0348282GB
polkitd 0.0305061GB
dbus 0.0046196GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

