--- 2026-07-30_00-00-03 ---
rtkit 7.62939e-05GB
dnsmasq 4.95911e-05GB
sfang6 4.03403GB
kbae2 2.19468GB
libstor+ 1.14441e-05GB
root 0.690453GB
gdm 0.112823GB
pcp 0.0592346GB
jhwang24 0.0210457GB
polkitd 0.00862503GB
iansari2 0.00568771GB
dbus 0.00311661GB
avahi 0.00106049GB
colord 0.000740051GB
chrony 0.000301361GB
daemon 0.000209808GB
rpc 0GB

