--- 2026-07-19_16-00-01 ---
kbae2 31.6569GB
sfang6 15.2475GB
dnsmasq 9.53674e-05GB
libstor+ 1.14441e-05GB
root 0.433277GB
gdm 0.217293GB
pcp 0.0519829GB
iansari2 0.0107384GB
polkitd 0.00996399GB
jhwang24 0.00941467GB
jkim234 0.00437927GB
dbus 0.00403214GB
colord 0.0027771GB
chrony 0.000831604GB
rtkit 0.000621796GB
avahi 0.000480652GB
daemon 0.000305176GB
rpc 0GB

