--- 2026-01-19_07-00-02 ---
jkim234 3.11633GB
root 1.10606GB
gdm 0.690533GB
pcp 0.0466919GB
polkitd 0.043335GB
kbae2 0.0352516GB
colord 0.014801GB
dbus 0.00749969GB
daemon 0.0067749GB
avahi 0.00569534GB
rpc 0.00540543GB
chrony 0.00444031GB
rtkit 0.0033989GB
dnsmasq 0.00271225GB
libstor+ 0.00175858GB

