--- 2026-01-31_18-00-02 ---
sfang6 8.73149GB
root 0.798004GB
gdm 0.321064GB
pcp 0.0617256GB
jhwang24 0.0363808GB
kbae2 0.0345116GB
polkitd 0.0288734GB
colord 0.00843048GB
dbus 0.00709915GB
daemon 0.00479507GB
avahi 0.00469971GB
rpc 0.00431061GB
chrony 0.00415039GB
rtkit 0.0032959GB
dnsmasq 0.00218582GB
libstor+ 0.00175858GB

