--- 2026-05-06_15-00-02 ---
jhwang24 8.55315GB
root 1.19791GB
gdm 0.433201GB
pcp 0.0623512GB
kbae2 0.0370483GB
polkitd 0.0365295GB
colord 0.0111847GB
dbus 0.00727081GB
daemon 0.00615692GB
avahi 0.00539017GB
rpc 0.00515747GB
chrony 0.00481796GB
rtkit 0.0035553GB
dnsmasq 0.002388GB
libstor+ 0.00177765GB

