--- 2026-03-24_23-00-02 ---
sfang6 5.7697GB
jkim234 2.01553GB
root 0.855175GB
gdm 0.537239GB
pcp 0.0729256GB
polkitd 0.0357246GB
kbae2 0.0350838GB
colord 0.0120621GB
dbus 0.00757217GB
daemon 0.00651932GB
avahi 0.00564957GB
rpc 0.00524139GB
chrony 0.00432968GB
rtkit 0.00354385GB
dnsmasq 0.00254822GB
libstor+ 0.00179672GB

