--- 2026-06-30_09-00-01 ---
sfang6 48.3197GB
libstor+ 9.15527e-05GB
kbae2 2.41017GB
jkim234 0.735909GB
root 0.503593GB
gdm 0.122356GB
jhwang24 0.0402527GB
pcp 0.038929GB
polkitd 0.0176315GB
iansari2 0.0155449GB
dbus 0.00392532GB
chrony 0.00203323GB
daemon 0.000980377GB
avahi 0.000652313GB
rpc 0.000350952GB
rtkit 0.000209808GB
colord 0.000209808GB
dnsmasq 0.000106812GB

