--- 2026-03-11_04-00-02 ---
root 1.00076GB
gdm 0.706383GB
polkitd 0.0424805GB
pcp 0.0421333GB
jhwang24 0.039032GB
kbae2 0.0355225GB
colord 0.0129738GB
dbus 0.00797653GB
daemon 0.00696182GB
avahi 0.0057106GB
rpc 0.00531769GB
chrony 0.00439072GB
rtkit 0.003479GB
dnsmasq 0.00270081GB
libstor+ 0.0017662GB

