--- 2025-11-06_15-00-01 ---
jkim234 7.15741GB
sfang6 6.5493GB
iansari2 2.12368GB
root 0.865993GB
gdm 0.48473GB
kbae2 0.0991898GB
pcp 0.0643654GB
polkitd 0.0248566GB
colord 0.0102386GB
dbus 0.00673294GB
daemon 0.00576782GB
rpc 0.00522614GB
avahi 0.00454712GB
chrony 0.00381088GB
rtkit 0.00338364GB
dnsmasq 0.00233841GB
libstor+ 0.0018692GB

