--- 2026-05-11_06-00-03 ---
jhwang24 9.10818GB
root 0.933544GB
gdm 0.304787GB
pcp 0.041111GB
kbae2 0.036808GB
polkitd 0.032486GB
colord 0.0071907GB
dbus 0.00562286GB
avahi 0.00398254GB
daemon 0.00390244GB
rpc 0.00340652GB
chrony 0.0032196GB
rtkit 0.00257111GB
dnsmasq 0.00162506GB
libstor+ 0.00125885GB

