--- 2026-08-25_12-00-01 ---
dnsmasq 4.57764e-05GB
kbae2 3.72163GB
jkim234 3.14419GB
libstor+ 1.14441e-05GB
root 0.442547GB
pcp 0.148842GB
gdm 0.128136GB
iansari2 0.0384331GB
tgu4 0.0224457GB
polkitd 0.0188713GB
sfang6 0.0159607GB
jhwang24 0.00915527GB
dbus 0.00339127GB
chrony 0.00246811GB
avahi 0.00106049GB
colord 0.000663757GB
rtkit 0.000530243GB
daemon 0.000209808GB
rpc 0GB

