--- 2025-11-13_22-00-02 ---
jkim234 7.35384GB
kbae2 5.43668GB
iansari2 4.02186GB
jhwang24 1.53136GB
root 0.747036GB
gdm 0.139507GB
pcp 0.06707GB
polkitd 0.0258102GB
dbus 0.00386047GB
colord 0.00189209GB
avahi 0.00175476GB
chrony 0.00175095GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

