--- 2025-10-29_09-00-02 ---
rpc 9.15527e-05GB
daemon 3.8147e-05GB
libstor+ 3.43323e-05GB
iansari2 1.72343GB
dnsmasq 1.52588e-05GB
root 0.467552GB
gdm 0.113194GB
kbae2 0.0346909GB
jhwang24 0.0307388GB
pcp 0.0226097GB
polkitd 0.0206108GB
sfang6 0.0118446GB
dbus 0.00386047GB
chrony 0.00167465GB
avahi 0.000976562GB
rtkit 0.000293732GB
colord 0GB

