--- 2026-07-30_10-00-02 ---
rtkit 7.62939e-05GB
dnsmasq 4.95911e-05GB
kbae2 2.4977GB
libstor+ 1.14441e-05GB
root 0.484787GB
gdm 0.114395GB
pcp 0.037117GB
sfang6 0.0235252GB
iansari2 0.0107079GB
polkitd 0.00862885GB
jhwang24 0.00581741GB
dbus 0.00311661GB
avahi 0.00106049GB
colord 0.000740051GB
chrony 0.000301361GB
daemon 0.000209808GB
rpc 0GB

