--- 2026-08-07_02-00-01 ---
kbae2 36.1732GB
jkim234 5.81722GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
root 0.560253GB
gdm 0.118668GB
sfang6 0.0221748GB
pcp 0.0199356GB
iansari2 0.0123367GB
polkitd 0.0107651GB
jhwang24 0.00772858GB
dbus 0.00311661GB
avahi 0.00106049GB
colord 0.000740051GB
rtkit 0.00056076GB
chrony 0.000450134GB
daemon 0.000209808GB
rpc 0GB

