--- 2025-10-20_06-00-03 ---
sfang6 20.5559GB
root 0.565903GB
gdm 0.164101GB
kbae2 0.0344658GB
pcp 0.0312538GB
polkitd 0.0254936GB
dbus 0.00440979GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

