--- 2026-07-28_10-00-01 ---
kbae2 32.7643GB
rtkit 9.53674e-05GB
sfang6 7.44181GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
root 0.456451GB
jkim234 0.314541GB
gdm 0.116943GB
pcp 0.0394783GB
jhwang24 0.0243111GB
iansari2 0.0108032GB
polkitd 0.0100479GB
dbus 0.00309372GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

