--- 2026-04-01_22-00-02 ---
sfang6 20.1939GB
root 0.834572GB
gdm 0.42976GB
pcp 0.070343GB
kbae2 0.0355263GB
polkitd 0.0352783GB
colord 0.011219GB
dbus 0.00733566GB
daemon 0.00616455GB
avahi 0.00539017GB
rpc 0.00516129GB
chrony 0.00481796GB
rtkit 0.0035553GB
dnsmasq 0.002388GB
libstor+ 0.00178146GB

