--- 2026-07-27_05-00-01 ---
rtkit 9.53674e-05GB
kbae2 6.46647GB
sfang6 5.06136GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
root 0.441696GB
gdm 0.115318GB
pcp 0.0256462GB
jhwang24 0.0241928GB
iansari2 0.010952GB
polkitd 0.00693893GB
dbus 0.00306702GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

