--- 2025-10-19_11-00-03 ---
sfang6 16.0215GB
root 0.632172GB
gdm 0.182621GB
pcp 0.0422554GB
kbae2 0.0347557GB
polkitd 0.0315971GB
dbus 0.00490189GB
avahi 0.00374222GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00236893GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

