--- 2026-07-16_14-00-01 ---
kbae2 40.8663GB
libstor+ 9.15527e-05GB
sfang6 4.59422GB
root 0.577393GB
gdm 0.128784GB
pcp 0.0459938GB
jhwang24 0.0316162GB
iansari2 0.0115089GB
polkitd 0.00951385GB
dbus 0.00348663GB
avahi 0.00133896GB
chrony 0.00117493GB
daemon 0.000827789GB
rtkit 0.000774384GB
rpc 0.000328064GB
colord 0.00019455GB
dnsmasq 0.000106812GB

