--- 2025-12-04_08-00-02 ---
root 0.979336GB
gdm 0.547779GB
pcp 0.0463715GB
polkitd 0.0392761GB
kbae2 0.0351219GB
skanumu2 0.0297813GB
colord 0.0105247GB
dbus 0.00709534GB
daemon 0.00604248GB
avahi 0.00505066GB
rpc 0.00458145GB
chrony 0.0042305GB
rtkit 0.00315475GB
dnsmasq 0.00257874GB
libstor+ 0.00188446GB

