--- 2026-01-19_00-00-02 ---
jkim234 3.11222GB
root 1.2804GB
gdm 0.690517GB
pcp 0.0753288GB
polkitd 0.0430183GB
kbae2 0.0351524GB
colord 0.014801GB
dbus 0.00749969GB
daemon 0.0067749GB
avahi 0.00569534GB
rpc 0.00540543GB
chrony 0.00444031GB
rtkit 0.0033989GB
dnsmasq 0.00271225GB
libstor+ 0.00175858GB

