--- 2025-11-12_02-00-02 ---
sfang6 9.45528GB
iansari2 4.67665GB
jkim234 3.83325GB
root 0.534935GB
gdm 0.140488GB
kbae2 0.0346031GB
pcp 0.0262222GB
polkitd 0.0249939GB
jhwang24 0.0115318GB
dbus 0.00390244GB
colord 0.0018959GB
chrony 0.00175095GB
avahi 0.00144958GB
daemon 0.00109863GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

