--- 2026-08-26_01-00-04 ---
libstor+ 7.62939e-06GB
kbae2 6.47897GB
dnsmasq 4.57764e-05GB
colord 3.8147e-06GB
jkim234 0.972012GB
root 0.419056GB
gdm 0.114464GB
iansari2 0.0219536GB
pcp 0.0185928GB
tgu4 0.0129662GB
sfang6 0.0100327GB
jhwang24 0.0087738GB
polkitd 0.00544357GB
dbus 0.00361252GB
daemon 0.000431061GB
avahi 0.000354767GB
chrony 0.000221252GB
rtkit 0.000106812GB
rpc 0GB

