--- 2026-07-09_00-00-03 ---
sfang6 13.029GB
libstor+ 9.15527e-05GB
kbae2 7.81326GB
jkim234 1.9702GB
root 0.671673GB
gdm 0.120262GB
pcp 0.0682793GB
iansari2 0.00999832GB
polkitd 0.00556183GB
dbus 0.00359726GB
chrony 0.00152969GB
avahi 0.00136185GB
daemon 0.000839233GB
rpc 0.000335693GB
rtkit 0.000202179GB
colord 0.000198364GB
dnsmasq 0.000106812GB

