--- 2026-07-27_16-00-01 ---
kbae2 33.1332GB
rtkit 9.53674e-05GB
dnsmasq 4.95911e-05GB
sfang6 1.87285GB
libstor+ 1.14441e-05GB
root 0.440281GB
gdm 0.115356GB
pcp 0.0484619GB
jhwang24 0.0238113GB
iansari2 0.00954819GB
polkitd 0.00693893GB
dbus 0.00306702GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

