--- 2026-07-28_05-00-03 ---
kbae2 41.4582GB
rtkit 9.53674e-05GB
sfang6 5.05869GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
root 0.454086GB
jkim234 0.317245GB
gdm 0.116966GB
pcp 0.0262337GB
jhwang24 0.024334GB
iansari2 0.0104752GB
polkitd 0.0100784GB
dbus 0.00309372GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

