--- 2026-05-07_16-00-01 ---
jhwang24 72.4515GB
sfang6 12.8947GB
root 1.04095GB
gdm 0.355434GB
pcp 0.0955238GB
kbae2 0.0365181GB
polkitd 0.0321732GB
colord 0.0093689GB
dbus 0.00599289GB
daemon 0.0045433GB
avahi 0.00431824GB
chrony 0.00387192GB
rpc 0.00370026GB
rtkit 0.00283432GB
dnsmasq 0.00188065GB
libstor+ 0.0014801GB

