--- 2026-05-07_15-00-02 ---
jhwang24 70.1446GB
sfang6 12.9918GB
root 1.04399GB
gdm 0.35815GB
pcp 0.0877228GB
kbae2 0.0365257GB
polkitd 0.0326653GB
colord 0.00941849GB
dbus 0.00602341GB
daemon 0.00455475GB
avahi 0.00434494GB
chrony 0.00389862GB
rpc 0.00370407GB
rtkit 0.00283432GB
dnsmasq 0.00188828GB
libstor+ 0.00148773GB

