--- 2026-09-04_04-00-01 ---
kbae2 29.4988GB
libstor+ 7.62939e-06GB
jkim234 5.47785GB
dnsmasq 4.57764e-05GB
colord 3.8147e-06GB
root 0.645508GB
jhwang24 0.630672GB
gdm 0.139584GB
polkitd 0.0308647GB
pcp 0.0300713GB
iansari2 0.0232353GB
tgu4 0.0149002GB
sfang6 0.0113373GB
dbus 0.00430679GB
chrony 0.0025177GB
avahi 0.00182724GB
daemon 0.000431061GB
rtkit 0.000225067GB
rpc 0GB

