--- 2025-10-15_14-00-02 ---
jkim234 1.93441GB
root 0.64864GB
gdm 0.184719GB
pcp 0.0476952GB
kbae2 0.0344048GB
polkitd 0.0276222GB
dbus 0.00482178GB
avahi 0.00374222GB
chrony 0.00278473GB
daemon 0.00256348GB
rtkit 0.00235748GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

