--- 2025-10-09_02-00-02 ---
jkim234 38.4769GB
kbae2 12.0632GB
root 0.605091GB
gdm 0.180801GB
pcp 0.0306358GB
sfang6 0.025547GB
polkitd 0.0174751GB
dbus 0.0048027GB
avahi 0.00373077GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00236511GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

