--- 2026-08-05_04-00-01 ---
kbae2 35.8517GB
dnsmasq 4.95911e-05GB
jkim234 1.22696GB
libstor+ 1.14441e-05GB
root 0.551159GB
gdm 0.11866GB
pcp 0.0236397GB
sfang6 0.0215912GB
iansari2 0.0110512GB
polkitd 0.0107689GB
jhwang24 0.00513458GB
dbus 0.00311661GB
avahi 0.00106049GB
colord 0.000740051GB
rtkit 0.00056076GB
chrony 0.000301361GB
daemon 0.000209808GB
rpc 0GB

