--- 2025-12-02_18-00-01 ---
sfang6 3.81892GB
root 1.08664GB
jkim234 0.824974GB
gdm 0.692108GB
kbae2 0.0970955GB
pcp 0.0684814GB
polkitd 0.0405579GB
skanumu2 0.0344849GB
colord 0.0133247GB
dbus 0.00752258GB
daemon 0.00675583GB
rpc 0.00537109GB
avahi 0.00535583GB
chrony 0.00513458GB
rtkit 0.00351334GB
dnsmasq 0.00269318GB
libstor+ 0.00191116GB

