--- 2026-03-19_00-00-03 ---
sfang6 15.5063GB
root 0.934563GB
gdm 0.552399GB
pcp 0.0546722GB
kbae2 0.0350189GB
polkitd 0.0275192GB
colord 0.012104GB
dbus 0.00736618GB
daemon 0.00651932GB
rpc 0.00524139GB
avahi 0.00520706GB
chrony 0.00432968GB
rtkit 0.00354385GB
dnsmasq 0.00256729GB
libstor+ 0.00179672GB

