--- 2026-05-08_09-00-01 ---
jkim234 47.7435GB
jhwang24 28.7334GB
sfang6 8.51067GB
root 0.932758GB
gdm 0.299202GB
pcp 0.0520248GB
kbae2 0.0364952GB
polkitd 0.0270157GB
colord 0.00728226GB
dbus 0.00562668GB
avahi 0.00399017GB
daemon 0.00390625GB
rpc 0.00341415GB
chrony 0.00320053GB
rtkit 0.00257492GB
dnsmasq 0.00162506GB
libstor+ 0.00125885GB

