--- 2026-07-28_14-00-02 ---
rtkit 9.53674e-05GB
sfang6 7.58211GB
dnsmasq 4.95911e-05GB
kbae2 4.5861GB
libstor+ 1.14441e-05GB
root 0.469425GB
jkim234 0.329266GB
gdm 0.116936GB
pcp 0.0482635GB
jhwang24 0.0243111GB
iansari2 0.0108147GB
polkitd 0.0100441GB
dbus 0.00309372GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

