--- 2025-10-23_13-00-01 ---
jhwang24 2.82858GB
root 0.704575GB
gdm 0.166828GB
pcp 0.04776GB
kbae2 0.0345268GB
polkitd 0.0299454GB
dbus 0.0046196GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

