--- 2026-07-09_13-00-01 ---
kbae2 16.4008GB
libstor+ 9.15527e-05GB
sfang6 8.3395GB
jkim234 1.74521GB
root 0.575615GB
gdm 0.121315GB
pcp 0.0462189GB
polkitd 0.0102348GB
iansari2 0.00993729GB
dbus 0.00359726GB
chrony 0.00152588GB
avahi 0.00135803GB
daemon 0.000839233GB
rpc 0.000335693GB
rtkit 0.000198364GB
colord 0.000198364GB
dnsmasq 0.000106812GB

