--- 2025-11-15_21-00-01 ---
iansari2 6.10324GB
jhwang24 5.01124GB
kbae2 1.97026GB
jkim234 0.920387GB
root 0.720798GB
gdm 0.135967GB
pcp 0.0626259GB
polkitd 0.0253944GB
dbus 0.00469971GB
colord 0.00189209GB
avahi 0.00173187GB
chrony 0.00159454GB
daemon 0.00111008GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

