--- 2025-10-24_00-00-03 ---
jhwang24 3.75397GB
root 0.90575GB
gdm 0.166912GB
pcp 0.0663605GB
kbae2 0.0344543GB
polkitd 0.0305099GB
dbus 0.0046196GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

