--- 2025-10-03_10-00-01 ---
sfang6 16.6443GB
kbae2 1.21808GB
root 0.674164GB
gdm 0.18626GB
pcp 0.0406151GB
jhwang24 0.0382538GB
polkitd 0.0209045GB
dbus 0.00504303GB
avahi 0.00378036GB
colord 0.00362396GB
chrony 0.00279236GB
daemon 0.00257111GB
rtkit 0.00237656GB
rpc 0.00217819GB
dnsmasq 0.00178909GB
libstor+ 0.00166321GB

