--- 2025-10-28_18-00-01 ---
jhwang24 17.3037GB
jkim234 6.25299GB
iansari2 4.98065GB
libstor+ 4.95911e-05GB
dnsmasq 1.52588e-05GB
root 0.659294GB
gdm 0.115551GB
pcp 0.0515862GB
sfang6 0.0380211GB
kbae2 0.0343475GB
polkitd 0.0281296GB
dbus 0.0032196GB
avahi 0.00133896GB
chrony 0.00043869GB
daemon 0.00037384GB
rtkit 0.000152588GB
rpc 0.000102997GB
colord 0GB

