--- 2026-02-10_12-00-10 ---
sfang6 5.76539GB
root 0.758339GB
gdm 0.260414GB
kbae2 0.102085GB
pcp 0.0500107GB
polkitd 0.0277252GB
dbus 0.00637436GB
colord 0.00486755GB
chrony 0.00442505GB
daemon 0.00435638GB
avahi 0.00423431GB
rpc 0.0038414GB
rtkit 0.00321198GB
dnsmasq 0.00197983GB
libstor+ 0.0017395GB

