--- 2026-05-07_17-00-01 ---
jhwang24 74.4633GB
sfang6 12.5479GB
root 1.01544GB
gdm 0.344681GB
pcp 0.0994415GB
kbae2 0.0363541GB
polkitd 0.0307312GB
colord 0.00904083GB
dbus 0.00580597GB
daemon 0.00432968GB
avahi 0.00407791GB
chrony 0.00367737GB
rpc 0.00354385GB
rtkit 0.00263977GB
dnsmasq 0.00170517GB
libstor+ 0.00131226GB

