--- 2026-07-29_23-00-01 ---
rtkit 7.62939e-05GB
dnsmasq 4.95911e-05GB
sfang6 4.06125GB
kbae2 2.13713GB
libstor+ 1.14441e-05GB
root 0.474648GB
gdm 0.112411GB
pcp 0.0576057GB
jhwang24 0.0210457GB
polkitd 0.00862503GB
iansari2 0.00568771GB
dbus 0.00311661GB
avahi 0.00106049GB
colord 0.000740051GB
chrony 0.000301361GB
daemon 0.000209808GB
rpc 0GB

