--- 2025-10-09_21-00-02 ---
jkim234 35.4483GB
kbae2 0.770844GB
root 0.590683GB
gdm 0.182671GB
pcp 0.0665512GB
polkitd 0.0185852GB
dbus 0.00482178GB
avahi 0.00373077GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00235748GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

