--- 2025-10-29_04-00-02 ---
jhwang24 85.6238GB
libstor+ 4.95911e-05GB
iansari2 3.49446GB
dnsmasq 1.52588e-05GB
root 0.492153GB
gdm 0.10062GB
kbae2 0.0344543GB
pcp 0.0335312GB
sfang6 0.0317345GB
polkitd 0.023037GB
dbus 0.00363922GB
chrony 0.00177383GB
avahi 0.000900269GB
daemon 0.000511169GB
rtkit 0.000152588GB
rpc 0.000102997GB
colord 0GB

