--- 2025-10-21_23-00-07 ---
jhwang24 63.0071GB
jkim234 4.46878GB
root 0.704987GB
gdm 0.166103GB
pcp 0.0759125GB
sfang6 0.0370102GB
kbae2 0.0345726GB
polkitd 0.02808GB
dbus 0.00462341GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

